city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population
Jenks,Jenks,OK,Oklahoma,40143,Tulsa,35.9981,-95.9737,23767
Palatka,Palatka,FL,Florida,12107,Putnam,29.6493,-81.6705,23738
Coronado,Coronado,CA,California,6073,San Diego,32.664,-117.16,23731
Valinda,Valinda,CA,California,6037,Los Angeles,34.0401,-117.93,23705
Centerville,Centerville,OH,Ohio,39113,Montgomery,39.6339,-84.1449,23703
Van Buren,Van Buren,AR,Arkansas,5033,Crawford,35.448,-94.3528,23683
Greeneville,Greeneville,TN,Tennessee,47059,Greene,36.168,-82.8197,23683
Waycross,Waycross,GA,Georgia,13299,Ware,31.2108,-82.3579,23671
Half Moon Bay,Half Moon Bay,CA,California,6081,San Mateo,37.4688,-122.4383,23653
Belton,Belton,MO,Missouri,29037,Cass,38.8193,-94.5334,23642
Jacksonville Beach,Jacksonville Beach,FL,Florida,12031,Duval,30.2782,-81.4045,23628
North Lynnwood,North Lynnwood,WA,Washington,53061,Snohomish,47.8533,-122.2762,23620
Ilion,Ilion,NY,New York,36043,Herkimer,43.0114,-75.0396,23608
Rosemont,Rosemont,CA,California,6067,Sacramento,38.5477,-121.3553,23602
Seymour,Seymour,IN,Indiana,18071,Jackson,38.9476,-85.891,23598
Oakdale,Oakdale,CA,California,6099,Stanislaus,37.7616,-120.847,23596
Madisonville,Madisonville,KY,Kentucky,21107,Hopkins,37.3408,-87.5034,23580
Romulus,Romulus,MI,Michigan,26163,Wayne,42.2237,-83.366,23573
Cudahy,Cudahy,CA,California,6037,Los Angeles,33.9631,-118.183,23569
Copiague,Copiague,NY,New York,36103,Suffolk,40.6728,-73.3932,23561
Winter Gardens,Winter Gardens,CA,California,6073,San Diego,32.8376,-116.9268,23545
Leland,Leland,NC,North Carolina,37019,Brunswick,34.2044,-78.0277,23544
Rolling Meadows,Rolling Meadows,IL,Illinois,17031,Cook,42.0747,-88.0252,23532
Wekiwa Springs,Wekiwa Springs,FL,Florida,12117,Seminole,28.6984,-81.4251,23512
Northdale,Northdale,FL,Florida,12057,Hillsborough,28.1058,-82.5263,23510
Fort Hood,Fort Hood,TX,Texas,48027,Bell,31.1345,-97.7797,23508
Benbrook,Benbrook,TX,Texas,48439,Tarrant,32.6787,-97.4638,23502
Zion,Zion,IL,Illinois,17097,Lake,42.4598,-87.8509,23487
Watertown,Watertown,WI,Wisconsin,55055,Jefferson,43.1893,-88.7285,23479
Montrose,Montrose,CO,Colorado,8085,Montrose,38.469,-107.859,23478
Hialeah Gardens,Hialeah Gardens,FL,Florida,12086,Miami-Dade,25.8878,-80.3569,23474
Columbus,Columbus,NE,Nebraska,31141,Platte,41.4368,-97.3563,23468
Plainview,Plainview,TX,Texas,48189,Hale,34.1911,-101.7234,23424
Auburn,Auburn,ME,Maine,23001,Androscoggin,44.085,-70.2492,23414
Carteret,Carteret,NJ,New Jersey,34023,Middlesex,40.5848,-74.2284,23408
Arnold,Arnold,MD,Maryland,24003,Anne Arundel,39.0437,-76.4974,23406
Avon,Avon,OH,Ohio,39093,Lorain,41.4485,-82.0187,23399
West Puente Valley,West Puente Valley,CA,California,6037,Los Angeles,34.0512,-117.9681,23382
Loves Park,Loves Park,IL,Illinois,17201,Winnebago,42.3364,-88.9975,23371
Vero Beach South,Vero Beach South,FL,Florida,12061,Indian River,27.6164,-80.413,23333
Lisle,Lisle,IL,Illinois,17043,DuPage,41.7918,-88.0888,23270
Greenbelt,Greenbelt,MD,Maryland,24033,Prince George's,38.9953,-76.8885,23224
